global_step,mcc,train_loss,eval_loss,macro_f1,weighted_f1,accuracy
400,0.34186208123532635,0.6380478739738464,0.9019338373246232,0.5467149595627957,0.5666424727468587,0.5812228654124457
800,0.4594230377822528,0.6686040759086609,0.7704659240274895,0.6313279484190945,0.6474307385478985,0.6541244573082489
1200,0.5529749200092854,0.7943856120109558,0.667163273898082,0.7011224925043549,0.7122611709271643,0.7107452966714906
1600,0.5854290149878046,0.6524105668067932,0.6410463214405184,0.7051556354813137,0.7176604491019358,0.7281114327062229
2000,0.657286681277166,0.38005274534225464,0.5361393945003913,0.7691222357547604,0.7782017991677795,0.7744211287988423
2400,0.7094167863300274,0.5373367667198181,0.4804365750432499,0.8017768889387549,0.8114704839708855,0.8120477568740955
2800,0.7410664616295806,0.15301883220672607,0.4263742511955703,0.8218580614936953,0.831497084893764,0.8299565846599132
3200,0.7625009986660503,0.4692322909832001,0.42990974088509876,0.8375647367269373,0.8428862588867015,0.8456946454413893
3600,0.8148358575191962,0.1150282472372055,0.36543648226519787,0.8746001545948422,0.8794102917922966,0.8800651230101303
4000,0.8488188874097125,0.04246446490287781,0.28627034120519107,0.8959259898322154,0.9006593204409525,0.9017727930535456
4400,0.8621801260724715,0.6952372193336487,0.3161681467277278,0.9027000512178495,0.9089013520842663,0.9099131693198264
